ordem,municipio_chave,tipo_entidade,url_amaweb,url_accessmonitor,correspondencia,status_amaweb,nota_amaweb,avaliacao_amaweb,tem_cloudflare_amaweb,status_accessmonitor,nota_accessmonitor,avaliacao_accessmonitor,tem_cloudflare_accessmonitor,diferenca_nota_amaweb_menos_accessmonitor,faixa_amaweb,faixa_accessmonitor,titulo_amaweb,titulo_accessmonitor,accessmonitor_run
"11","altoparaguai","Prefeitura/Órgão Municipal","https://www.altoparaguai.mt.gov.br/","https://www.altoparaguai.mt.gov.br/","URL exata","Concluída","7.4","Sim","Não","Avaliado","7","Sim","Não","0.40","7-<8","7-<8","Página Inicial - Prefeitura de Alto Paraguai - MT","Página Inicial - Prefeitura de Alto Paraguai - MT","17-04-38"
"12","","Outro/Consórcio","https://www.camaradealtoparaguai.com.br/","https://www.camaradealtoparaguai.com.br/","URL exata","Sem resultado AMAWeb","","Não","Não","Avaliado","","Não","Não","","<5","<5","","","17-04-38"
"13","altotaquari","Prefeitura/Órgão Municipal","https://www.altotaquari.mt.gov.br/","https://www.altotaquari.mt.gov.br/","URL exata","Concluída","9.2","Sim","Não","Avaliado","","Não","Não","","9-10","<5","Prefeitura Municipal","","17-04-38"
"14","altotaquari","Câmara Municipal","https://www.altotaquari.mt.leg.br/","https://www.altotaquari.mt.leg.br/","URL exata","Concluída","6","Sim","Não","Avaliado","","Não","Não","","6-<7","<5","Camara Municipal de Alto Taquari","","17-04-38"
"15","apiacas","Prefeitura/Órgão Municipal","https://www.apiacas.mt.gov.br/","https://www.apiacas.mt.gov.br/","URL exata","Concluída","8.1","Sim","Não","Avaliado","7.9","Sim","Não","0.20","8-<9","7-<8","Página Inicial - Prefeitura de Apiacás Apiacás - MT","Página Inicial - Prefeitura de Apiacás Apiacás - MT","17-04-38"
"16","camaraapiacas","Prefeitura/Órgão Municipal","https://www.camaraapiacas.mt.gov.br/","https://www.camaraapiacas.mt.gov.br/","URL exata","Concluída","7.1","Sim","Não","Avaliado","6.1","Sim","Não","1.00","7-<8","6-<7","Página Inicial - Câmara Apiacás","Página Inicial - Câmara Apiacás","17-04-38"
"17","araguaiana","Prefeitura/Órgão Municipal","https://www.araguaiana.mt.gov.br/","https://www.araguaiana.mt.gov.br/","URL exata","Sem resultado AMAWeb","","Não","Não","Avaliado","","Não","Não","","<5","<5","","","17-04-38"
"18","araguaiana","Câmara Municipal","https://araguaiana.mt.leg.br/","https://araguaiana.mt.leg.br/","URL exata","Sem resultado AMAWeb","","Não","Não","Avaliado","","Não","Não","","<5","<5","","","17-04-38"
"19","araguainha","Prefeitura/Órgão Municipal","https://araguainha.mt.gov.br/","https://araguainha.mt.gov.br/","URL exata","Concluída","8.7","Sim","Não","Avaliado","8.4","Sim","Não","0.30","8-<9","8-<9","Prefeitura Municipal de Araguainha – Prefeitura Municipal de Araguainha","Prefeitura Municipal de Araguainha – Prefeitura Municipal de Araguainha","17-04-38"
"20","araguainha","Câmara Municipal","https://araguainha.mt.leg.br/","https://araguainha.mt.leg.br/","URL exata","Sem resultado AMAWeb","","Não","Não","Avaliado","","Não","Não","","<5","<5","","","17-04-38"
"21","araputanga","Prefeitura/Órgão Municipal","https://araputanga.mt.gov.br/","https://araputanga.mt.gov.br/","URL exata","Concluída","7.3","Sim","Não","Avaliado","5.9","Sim","Não","1.40","7-<8","5-<6","Prefeitura Municipal de Araputanga","Prefeitura Municipal de Araputanga","17-04-38"
"22","araputanga","Câmara Municipal","https://araputanga.mt.leg.br/","https://araputanga.mt.leg.br/","URL exata","Concluída","7.7","Sim","Não","Avaliado","6.6","Sim","Não","1.10","7-<8","6-<7","Câmara Municipal de Araputanga","Câmara Municipal de Araputanga","17-04-38"
"23","arenapolis","Prefeitura/Órgão Municipal","https://www.arenapolis.mt.gov.br/","https://www.arenapolis.mt.gov.br/","URL exata","Concluída","6.3","Sim","Não","Avaliado","5.8","Sim","Não","0.50","6-<7","5-<6","Prefeitura Municipal de Arenápolis","Prefeitura Municipal de Arenápolis","17-04-38"
"24","arenapolis","Câmara Municipal","https://arenapolis.mt.leg.br/","https://arenapolis.mt.leg.br/","URL exata","Concluída","","Não","Sim","Avaliado","","Não","Sim","","9-10","8-<9","Access denied | arenapolis.mt.leg.br used Cloudflare to restrict access | arenapolis.mt.leg.br | Cloudflare","Access denied | arenapolis.mt.leg.br used Cloudflare to restrict access | arenapolis.mt.leg.br | Cloudflare","17-04-38"
"25","aripuana","Prefeitura/Órgão Municipal","https://www.aripuana.mt.gov.br/#/home","https://www.aripuana.mt.gov.br/#/home","URL exata","Concluída","5.7","Sim","Não","Avaliado","","Não","Não","","5-<6","<5","Prefeitura Municipal de Aripuanã","","17-04-38"
"26","","Outro/Consórcio","https://camaraaripuanamt.com.br/index.php","https://camaraaripuanamt.com.br/index.php","URL exata","Sem resultado AMAWeb","","Não","Não","Avaliado","","Não","Não","","<5","<5","","","17-04-38"
"27","barradobugres","Prefeitura/Órgão Municipal","https://www.barradobugres.mt.gov.br/","https://www.barradobugres.mt.gov.br/","URL exata","Concluída","7.6","Sim","Não","Avaliado","6.8","Sim","Não","0.80","7-<8","6-<7","Prefeitura Municipal de Barra do Bugres | Gestão 2025-2028 – Site oficial da Prefeitura Municipal de Barra do Bugres","Prefeitura Municipal de Barra do Bugres | Gestão 2025-2028 – Site oficial da Prefeitura Municipal de Barra do Bugres","17-04-38"
"28","barradobugres","Câmara Municipal","https://barradobugres.mt.leg.br","https://barradobugres.mt.leg.br","URL exata","Concluída","6.7","Sim","Não","Avaliado","6","Sim","Não","0.70","6-<7","6-<7","Câmara Municipal de Barra do Bugres","Câmara Municipal de Barra do Bugres","17-04-38"
"29","","Outro/Consórcio","https://www.cisrga.com.br/#/home","https://www.cisrga.com.br/#/home","URL exata","Concluída","7.3","Sim","Não","Avaliado","","Não","Não","","7-<8","<5","Cisrga","","17-04-38"
"30","barradogarcas","Prefeitura/Órgão Municipal","https://www.barradogarcas.mt.gov.br/","https://www.barradogarcas.mt.gov.br/","URL exata","Concluída","7.5","Sim","Não","Avaliado","7.1","Sim","Não","0.40","7-<8","7-<8","Página Inicial - Prefeitura Municipal de Barra do Garças","Página Inicial - Prefeitura Municipal de Barra do Garças","17-04-38"
