ordem,url,titulo,nota,status,tentativas,json,pdf,url_chave,host_chave,nota_num,avaliacao_utilizavel,tem_cloudflare,faixa_nota,tipo_entidade,municipio_chave
"56","https://www.camarachapadadosguimaraes.mt.gov.br","Câmara Municipal de Chapada dos Guimarães/MT","9.2","Concluída","2","saida_mt/2026-09-20/04-02-24/amaweb_www.camarachapadadosguimaraes.mt.gov.br_015.json","saida_mt/2026-09-20/04-02-24/amaweb_www.camarachapadadosguimaraes.mt.gov.br_015.pdf","camarachapadadosguimaraes.mt.gov.br","camarachapadadosguimaraes.mt.gov.br","9.2","Sim","Não","9-10","Prefeitura/Órgão Municipal","camarachapadadosguimaraes"
"57","https://www.claudia.mt.gov.br/","Prefeitura Municipal de Cláudia – MT – uma cidade para todos","7.8","Concluída","1","saida_mt/2026-09-20/02-41-56/amaweb_www.claudia.mt.gov.br_057.json","saida_mt/2026-09-20/02-41-56/amaweb_www.claudia.mt.gov.br_057.pdf","claudia.mt.gov.br","claudia.mt.gov.br","7.8","Sim","Não","7-<8","Prefeitura/Órgão Municipal","claudia"
"58","https://www.camaraclaudia.mt.gov.br/","Página Inicial - Câmara Municipal de Cláudia-MT","7.6","Concluída","1","saida_mt/2026-09-20/02-41-56/amaweb_www.camaraclaudia.mt.gov.br_058.json","saida_mt/2026-09-20/02-41-56/amaweb_www.camaraclaudia.mt.gov.br_058.pdf","camaraclaudia.mt.gov.br","camaraclaudia.mt.gov.br","7.6","Sim","Não","7-<8","Prefeitura/Órgão Municipal","camaraclaudia"
"59","https://www.cocalinho.mt.gov.br/","","","Sem resultado AMAWeb","5","","","cocalinho.mt.gov.br","cocalinho.mt.gov.br","0","Não","Não","<5","Prefeitura/Órgão Municipal","cocalinho"
"60","https://cocalinho.mt.leg.br/","Câmara Municipal de Cocalinho - MT","8.1","Concluída","1","saida_mt/2026-09-20/02-41-56/amaweb_cocalinho.mt.leg.br_060.json","saida_mt/2026-09-20/02-41-56/amaweb_cocalinho.mt.leg.br_060.pdf","cocalinho.mt.leg.br","cocalinho.mt.leg.br","8.1","Sim","Não","8-<9","Câmara Municipal","cocalinho"
"61","https://colniza.mt.gov.br/#/home","Prefeitura Municipal de Colniza - MT","7.5","Concluída","1","saida_mt/2026-09-20/02-41-56/amaweb_colniza.mt.gov.br_061.json","saida_mt/2026-09-20/02-41-56/amaweb_colniza.mt.gov.br_061.pdf","colniza.mt.gov.br/#/home","colniza.mt.gov.br","7.5","Sim","Não","7-<8","Prefeitura/Órgão Municipal","colniza"
"62","https://www.colniza.mt.leg.br/","Página Inicial — Câmara Municipal de Colniza","7.6","Concluída","1","saida_mt/2026-09-20/02-41-56/amaweb_www.colniza.mt.leg.br_062.json","saida_mt/2026-09-20/02-41-56/amaweb_www.colniza.mt.leg.br_062.pdf","colniza.mt.leg.br","colniza.mt.leg.br","7.6","Sim","Não","7-<8","Câmara Municipal","colniza"
"63","https://cisrnm.com.br/#/home","Consórcio Intermunicipal de Saúde Da Região Norte Matogrossense","6.6","Concluída","1","saida_mt/2026-09-20/02-41-56/amaweb_cisrnm.com.br_063.json","saida_mt/2026-09-20/02-41-56/amaweb_cisrnm.com.br_063.pdf","cisrnm.com.br/#/home","cisrnm.com.br","6.6","Sim","Não","6-<7","Outro/Consórcio",""
"64","https://www.colider.mt.gov.br/","Página Inicial - Prefeitura de Colíder","7.5","Concluída","1","saida_mt/2026-09-20/02-41-56/amaweb_www.colider.mt.gov.br_064.json","saida_mt/2026-09-20/02-41-56/amaweb_www.colider.mt.gov.br_064.pdf","colider.mt.gov.br","colider.mt.gov.br","7.5","Sim","Não","7-<8","Prefeitura/Órgão Municipal","colider"
"65","https://www.camaracolider.mt.gov.br/","Página Inicial - Câmara Municipal de Colíder - Mato Grosso","7.1","Concluída","1","saida_mt/2026-09-20/02-41-56/amaweb_www.camaracolider.mt.gov.br_065.json","saida_mt/2026-09-20/02-41-56/amaweb_www.camaracolider.mt.gov.br_065.pdf","camaracolider.mt.gov.br","camaracolider.mt.gov.br","7.1","Sim","Não","7-<8","Prefeitura/Órgão Municipal","camaracolider"
"66","https://www.comodoro.mt.gov.br/","Página Inicial - Prefeitura de Comodoro Comodoro - MT","6.9","Concluída","1","saida_mt/2026-09-20/02-41-56/amaweb_www.comodoro.mt.gov.br_066.json","saida_mt/2026-09-20/02-41-56/amaweb_www.comodoro.mt.gov.br_066.pdf","comodoro.mt.gov.br","comodoro.mt.gov.br","6.9","Sim","Não","6-<7","Prefeitura/Órgão Municipal","comodoro"
